"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
241,0.00203889206769033,0.000907594739488919,0.0116156132525543
242,0.00197297819654045,0.000915979016005382,0.0115749042867339
243,0.00194066516977682,0.000915208478130853,0.0124994250286293
244,0.00201181840344938,0.000913716987248749,0.0104066467049951
245,0.0019986139769587,0.000908651854672388,0.0107874516338413
246,0.00193813874340478,0.00092666445506466,0.0112424933883982
247,0.00192616407764008,0.000912665193109525,0.0117321528294039
248,0.00198047720739393,0.000913939002267575,0.0120487566507341
249,0.00195969179009759,0.000910821427966852,0.0110167604654757
250,0.00190744754043927,0.00091265035304848,0.0108106555443907
251,0.00188448427155174,0.000915162503754388,0.0119686070684553
252,0.00193085933688858,0.000916948928949583,0.0119488504549786
253,0.0019239512414248,0.000908688629942134,0.0109329820301717
254,0.00188252203833676,0.000929868823730344,0.0102972392942951
255,0.00186848416126957,0.00093128237210922,0.0101119270262047
256,0.00228661561756157,0.000888634487653268,0.0106773196844255
257,0.00218169115162707,0.000891484155490761,0.00990881631251765
258,0.00207871179553158,0.000912282095802082,0.0104676973386002
259,0.00199505043010939,0.000911386325124116,0.0102081549369232
260,0.00218267463885783,0.000906742692045668,0.0101221336696108
261,0.0021197569286725,0.000908513920467171,0.0102186538213844
262,0.00202618755715742,0.000920425393956024,0.0102471070191644
263,0.00197221814198942,0.000913429716208143,0.0106600650839646
264,0.00217983733279388,0.000901264664049906,0.0106983590248227
265,0.00211483828729936,0.000907111732188725,0.0100419578873748
266,0.00200605319062303,0.000907950286891448,0.00993229686199576
267,0.00194427929413698,0.000902407058744879,0.0100216595995533
268,0.00213352803654503,0.000908732677802349,0.0110692950168139
269,0.0021001813835767,0.000898248471938088,0.00986660410083854
270,0.00198740904900348,0.000917297982243325,0.0102245771753915
271,0.00194871552102938,0.000918938600221294,0.00981905646793729
272,0.00249943322739095,0.000895196067501322,0.0116437571274973
273,0.0023664526715901,0.000907106800876127,0.0100854092428687
274,0.00228515064671473,0.000913489903206716,0.0106358867461484
275,0.00218037287472305,0.000903563971049109,0.0116544303675939
276,0.00233320846845491,0.000915338337564797,0.0115920723774911
277,0.00225223248999168,0.000905945687046801,0.0106846882411036
278,0.0021910177531166,0.00092013479079011,0.0115209913679938
279,0.00212459642824934,0.000910205648847401,0.0107290426098938
280,0.00235256159011698,0.000906825501827943,0.0108708214880769
281,0.00226305356286701,0.000896441090143339,0.0104041096425393
282,0.0021956761919668,0.000910798169603632,0.0105624136642773
283,0.00211126555577937,0.000895537925975609,0.00985879748376904
284,0.00225159475282231,0.000916641019064178,0.0118671916083923
285,0.00219798392779457,0.000896957094791932,0.0105516109828999
