"x","loc_int","code","mu"
1,33,289,0.000940798821183977
2,33,545,0.000969591475717257
3,33,801,0.000945095074662616
0,34,34,0.0010013152281677
1,34,290,0.000981812714982985
2,34,546,0.000994555775308704
3,34,802,0.000968895460514806
0,35,35,0.000970555084293257
1,35,291,0.000948017275844882
2,35,547,0.000969633038800789
3,35,803,0.000941919180466749
0,36,36,0.00104876168323994
1,36,292,0.00103683383843711
2,36,548,0.00105753182488923
3,36,804,0.00103985989654521
0,37,37,0.00102514019121692
1,37,293,0.00101250484956591
2,37,549,0.00104522917114251
3,37,805,0.00102697851742955
0,38,38,0.00106375935501545
1,38,294,0.00105156558051455
2,38,550,0.00107348993447268
3,38,806,0.00105191201634916
0,39,39,0.00103433169856852
1,39,295,0.00102076710209516
2,39,551,0.00104919983915437
3,39,807,0.0010275136343747
0,40,40,0.000938005306510492
1,40,296,0.000914398667092387
2,40,552,0.000936928572319404
3,40,808,0.000911998174125576
0,41,41,0.000919751857059081
1,41,297,0.000894046024739302
2,41,553,0.000929385218960737
3,41,809,0.000901904675810025
0,42,42,0.000951648926140677
1,42,298,0.000930301764662745
2,42,554,0.000948014383452037
3,42,810,0.000922166377573397
0,43,43,0.00092705848503121
1,43,299,0.000901141435369545
2,43,555,0.000930714982871834
3,43,811,0.000900508406988555
0,44,44,0.00100762929457035
1,44,300,0.000991828830208354
2,44,556,0.00102313809567993
3,44,812,0.0010023442758678
0,45,45,0.000990441553759306
1,45,301,0.000974114696192935
2,45,557,0.00101837396908964
3,45,813,0.000996700970351853
0,46,46,0.00102095174781431
1,46,302,0.00100767903963955
2,46,558,0.00103643665259337
3,46,814,0.00101444833949273
0,47,47,0.000997962783241813
1,47,303,0.000981207438234061
2,47,559,0.00102105553082536
3,47,815,0.00099612746343094
0,48,48,0.000991931580148682
1,48,304,0.000982769095390465
2,48,560,0.000984200537276428
3,48,816,0.000973463580131833
0,49,49,0.000969333357652762
1,49,305,0.000955702105019618
2,49,561,0.000969236443979347
3,49,817,0.000954710767608766
0,50,50,0.00099035294095572
1,50,306,0.00098155762465856
2,50,562,0.000980291957775074
3,50,818,0.00096644284491894
0,51,51,0.000959722623374541
